BDCODTPLA,PLANO DE CONTAS,NUMERO CONTA,NOME CONTA,PARÂMETRO DA SIMULAÇÃO CORRESPONDENTE
302,302,1.2.3.9.2.2.08,Outros Créditos de Operações de Assistência Odontológica,
303,303,1.2.3.9.2.2.08.8,Outros Créditos de Operações de Assistência Odontológica,
304,304,1.2.3.9.2.2.08.9,(-) Provisão para Perdas Sobre Créditos,
305,305,1.2.4,CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA À SAÚDE NÃO RELACIONADOS COM PLANOS DE SAÚDE DA OPERADORA,
306,306,1.2.4.1,CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA À SAÚDE NÃO RELACIONADOS COM PLANOS DE SAÚDE DA OPERADORA,
307,307,1.2.4.1.1,CRÉDITOS A RECEBER DE PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR,
311,311,1.2.4.1.1.9.01.9,(-) Provisão para Perdas Sobre Créditos,
315,315,1.2.4.1.1.9.02.9,(-) Provisão para Perdas Sobre Créditos,
316,316,1.2.4.1.1.9.08,Outros Créditos Operacionais de Prestação de Serviço Médico-Hospitalar,
317,317,1.2.4.1.1.9.08.8,Outros Créditos Operacionais de Prestação de Serviço Médico-Hospitalar,
318,318,1.2.4.1.1.9.08.9,(-) Provisão para Perdas Sobre Créditos,
319,319,1.2.4.1.2,CRÉDITOS A RECEBER DE PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA ODONTOLÓGICA,
323,323,1.2.4.1.2.9.01.9,(-) Provisão para Perdas Sobre Créditos,
327,327,1.2.4.1.2.9.02.9,(-) Provisão para Perdas Sobre Créditos,
328,328,1.2.4.1.2.9.08,Outros Créditos Operacionais de Prestação de Serviço Odontológico,
329,329,1.2.4.1.2.9.08.8,Outros Créditos Operacionais de Prestação de Serviço Odontológico,
330,330,1.2.4.1.2.9.08.9,(-) Provisão para Perdas Sobre Créditos,
331,331,1.2.5,DESPESAS DIFERIDAS,Despesas Operacionais
347,347,1.2.5.2,DESPESAS DE RESSEGURO DIFERIDAS,Despesas Operacionais
356,356,1.2.6,CRÉDITOS TRIBUTÁRIOS E PREVIDÊNCIÁRIOS,
357,357,1.2.6.1,CRÉDITOS TRIBUTÁRIOS E PREVIDÊNCIARIOS,
358,358,1.2.6.1.1,CRÉDITOS TRIBUTÁRIOS,
359,359,1.2.6.1.1.9,Créditos Tributários,
360,360,1.2.6.1.1.9.01,Imposto de Renda,Receita Total
361,361,1.2.6.1.1.9.01.1,Imposto de Renda Retido na Fonte - IRRF,Receita Total
362,362,1.2.6.1.1.9.01.2,Imposto de Renda a Compensar/Restituir,Receita Total
363,363,1.2.6.1.1.9.01.3,Antecipações de Imposto de Renda,Receita Total
368,368,1.2.6.1.1.9.03,Crédito de Previdência Social,
369,369,1.2.6.1.1.9.03.1,Crédito de Previdência Social,
370,370,1.2.6.1.1.9.04,Créditos de PIS e COFINS,Créditos PIS
371,371,1.2.6.1.1.9.04.1,Créditos de PIS e COFINS,Créditos PIS
374,374,1.2.6.1.1.9.08,Outros Créditos Tributários e Previdenciários,
375,375,1.2.6.1.1.9.08.8,Outros Créditos Tributários e Previdenciários,
383,383,1.2.7.2,BENS A VENDA,Receita Mercadorias
384,384,1.2.7.2.1,BENS A VENDA,Receita Mercadorias
385,385,1.2.7.2.1.9,Bens a Venda,Receita Mercadorias
386,386,1.2.7.2.1.9.01,Bens a Venda,Receita Mercadorias
387,387,1.2.7.2.1.9.01.1,Imóveis a Venda,Receita Total
388,388,1.2.7.2.1.9.01.2,Outros Bens a Venda,Receita Mercadorias
400,400,1.2.7.6.1.9.01.9,(-) Provisão para Perdas Sobre Créditos,
408,408,1.2.7.7.1.9.01.9,(-) Provisão para Perdas Sobre Créditos,
409,409,1.2.7.7.2,DIREITOS RESULTANTES DA VENDA DE CARTEIRAS,Receita Total
410,410,1.2.7.7.2.9,Direitos  Resultantes da Venda de Carteira,Receita Total
411,411,1.2.7.7.2.9.01,Direitos  Resultantes da Venda de Carteira,Receita Total
412,412,1.2.7.7.2.9.01.1,Direitos Resultantes da Venda de Carteira de Beneficiários de Planos de Saúde,Receita Total
413,413,1.2.7.7.2.9.01.9,(-) Provisão para Perdas Sobre Créditos,
414,414,1.2.7.7.3,ADMINISTRADORA DE BENEFÍCIOS - OUTROS CRÉDITOS OPERACIONAIS,Despesas Operacionais
415,415,1.2.7.7.3.9,Administradora de Benefícios - Outros Créditos Operacionais,Despesas Operacionais
416,416,1.2.7.7.3.9.01,Administradora de Benefícios - Outros Créditos Operacionais,Despesas Operacionais
417,417,1.2.7.7.3.9.01.1,Créditos a Receber de Outras Atividades Operacionais,
418,418,1.2.7.7.3.9.01.2,Faturas a Receber de Prestação de Serviços,Receita serviços
426,426,1.2.7.8.1.9.01.4,Direitos Resultantes da Venda de Imóveis,Receita Total
429,429,1.2.7.8.1.9.01.8,Outros Créditos ou Bens a Receber,
430,430,1.2.7.8.1.9.01.9,(-) Provisão para Perdas Sobre Créditos,
431,431,1.2.8,DESPESAS ANTECIPADAS,Despesas Operacionais
432,432,1.2.8.1,DESPESAS ADMINISTRATIVAS,Despesas Operacionais
433,433,1.2.8.1.1,DESPESAS ADMINISTRATIVAS,Despesas Operacionais
434,434,1.2.8.1.1.9,Despesas Administrativas,Despesas Operacionais
435,435,1.2.8.1.1.9.01,Despesas Administrativas,Despesas Operacionais
436,436,1.2.8.1.1.9.01.1,Despesas Administrativas,Despesas Operacionais
437,437,1.2.8.2,DESPESAS PATRIMONIAIS,Despesas Operacionais
438,438,1.2.8.2.1,DESPESAS PATRIMONIAIS,Despesas Operacionais
439,439,1.2.8.2.1.9,Despesas Patrimoniais,Despesas Operacionais
440,440,1.2.8.2.1.9.01,Despesas Patrimoniais,Despesas Operacionais
441,441,1.2.8.2.1.9.01.1,Despesas Patrimoniais,Despesas Operacionais
442,442,1.2.8.3,DESPESAS OPERACIONAIS,Despesas Operacionais
443,443,1.2.8.3.1,DESPESAS OPERACIONAIS,Despesas Operacionais
444,444,1.2.8.3.1.9,Despesas Operacionais Antecipadas,Despesas Operacionais
445,445,1.2.8.3.1.9.01,Despesas Operacionais Antecipadas,Despesas Operacionais
446,446,1.2.8.3.1.9.01.1,Despesas Operacionais Antecipadas,Despesas Operacionais
447,447,1.2.8.9,OUTRAS DESPESAS ANTECIPADAS,Despesas Operacionais
448,448,1.2.8.9.1,OUTRAS DESPESAS ANTECIPADAS,Despesas Operacionais
449,449,1.2.8.9.1.9,Outras Despesas Antecipadas,Despesas Operacionais
450,450,1.2.8.9.1.9.01,Outras Despesas Antecipadas,Despesas Operacionais
451,451,1.2.8.9.1.9.01.1,Outras Despesas Antecipadas,Despesas Operacionais
453,453,1.2.9.1,CRÉDITOS A RECEBER DE COOPERADOS,
454,454,1.2.9.1.1,CRÉDITOS A RECEBER DE COOPERADOS,
455,455,1.2.9.1.1.9,Créditos a receber de Cooperados,
456,456,1.2.9.1.1.9.01,Créditos a receber de Cooperados,
457,457,1.2.9.1.1.9.01.1,Créditos a receber de Cooperados,
461,461,1.3.1.1.1,TÍTULOS DE RENDA FIXA - PRIVADOS,Receita Total
462,462,1.3.1.1.1.9,Títulos de Renda Fixa - Privados,Receita Total
469,469,1.3.1.1.1.9.08,Outros Títulos de Renda Fixa,Receita Total
472,472,1.3.1.1.1.9.09,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados,Receita Total
473,473,1.3.1.1.1.9.09.9,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados,Receita Total
474,474,1.3.1.1.2,TÍTULOS DE RENDA FIXA - PÚBLICOS,Receita Total
475,475,1.3.1.1.2.9,Títulos de Renda Fixa - Públicos,Receita Total
482,482,1.3.1.1.2.9.08,Outros Títulos de Renda Fixa,Receita Total
485,485,1.3.1.1.2.9.09,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos,Receita Total
486,486,1.3.1.1.2.9.09.9,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos,Receita Total
487,487,1.3.1.1.3,TÍTULOS DE RENDA VARIÁVEL,Receita Total
488,488,1.3.1.1.3.9,Títulos de Renda Variável,Receita Total
492,492,1.3.1.1.3.9.08,Outros Títulos de Renda Variável,Receita Total
495,495,1.3.1.1.3.9.09,(-) Provisão para Desvalorização de Títulos de Renda Variável,Receita Total
496,496,1.3.1.1.3.9.09.9,(-) Provisão para Desvalorização de Títulos de Renda Variável,Receita Total
505,505,1.3.1.2.1,TÍTULOS DE RENDAS FIXA,Receita Total
506,506,1.3.1.2.1.9,Títulos de Renda Fixa - Privados,Receita Total
513,513,1.3.1.2.1.9.08,Outros Títulos de Renda Fixa,Receita Total
516,516,1.3.1.2.1.9.09,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados,Receita Total
517,517,1.3.1.2.1.9.09.9,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados,Receita Total
518,518,1.3.1.2.2,TÍTULOS DE RENDA FIXA - PÚBLICOS,Receita Total
519,519,1.3.1.2.2.9,Títulos de Renda Fixa - Públicos,Receita Total
526,526,1.3.1.2.2.9.08,Outros Títulos de Renda Fixa,Receita Total
529,529,1.3.1.2.2.9.09,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos,Receita Total
530,530,1.3.1.2.2.9.09.9,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos,Receita Total
531,531,1.3.1.2.3,TÍTULOS DE RENDA VARIÁVEL,Receita Total
532,532,1.3.1.2.3.9,Títulos de Renda Variável,Receita Total
536,536,1.3.1.2.3.9.08,Outros Títulos de Renda Variável,Receita Total
539,539,1.3.1.2.3.9.09,(-) Provisão para Desvalorização de Títulos de Renda Variável,Receita Total
540,540,1.3.1.2.3.9.09.9,(-) Provisão para Desvalorização de Títulos de Renda Variável,Receita Total
548,548,1.3.1.3,CRÉDITOS TRIBUTÁRIOS E PREVIDENCIÁRIOS,
549,549,1.3.1.3.1,CRÉDITOS TRIBUTÁRIOS E PREVIDÊNCIÁRIOS,
550,550,1.3.1.3.1.9,Créditos Tributários,
551,551,1.3.1.3.1.9.01,Créditos Tributários,
552,552,1.3.1.3.1.9.01.1,Imposto de Renda,Receita Total
554,554,1.3.1.3.1.9.01.3,Crédito de Previdência Social,
555,555,1.3.1.3.1.9.01.4,Créditos de PIS e COFINS,Créditos PIS
557,557,1.3.1.3.1.9.01.8,Outros Créditos Tributários e Previdenciários,
558,558,1.3.1.4,TÍTULOS E CRÉDITOS A RECEBER,
559,559,1.3.1.4.1,CRÉDITOS A RECEBER,
560,560,1.3.1.4.1.9,Créditos a Receber,
561,561,1.3.1.4.1.9.01,Direitos Resultantes da Venda de Imóveis,Receita Total
562,562,1.3.1.4.1.9.01.1,Direitos Resultantes da Venda de Imóveis,Receita Total
564,564,1.3.1.4.1.9.01.9,(-) Provisão para Perdas Sobre Créditos,
565,565,1.3.1.4.1.9.02,Direitos Resultantes da Venda de Carteira de Beneficiários de Planos de Saúde,Receita Total
566,566,1.3.1.4.1.9.02.1,Direitos Resultantes da Venda de Carteira de Beneficiários de Planos de Saúde,Receita Total
568,568,1.3.1.4.1.9.02.9,(-) Provisão para Perdas Sobre Créditos,
574,574,1.3.1.4.2.9.01.9,(-) Provisão para Perdas Sobre Créditos,
578,578,1.3.1.4.2.9.08.9,(-) Provisão para Perdas Sobre Créditos,
592,592,1.3.1.4.8.9.01.9,(-) Provisão para Perdas Sobre Créditos,
593,593,1.3.1.5,DESPESAS DE COMERCIALIZAÇÃO DIFERIDAS,Despesas Operacionais
614,614,1.3.1.6.1.8,Crédito Tributário sobre Diferenças Temporárias,
615,615,1.3.1.6.1.8.01,Crédito Tributário sobre Diferenças Temporárias,
616,616,1.3.1.6.1.8.01.1,Imposto de Renda (IRPJ),Receita Total
618,618,1.3.1.6.1.9,Crédito Tributário sobre Prejuízo Fiscal,
619,619,1.3.1.6.1.9.01,Crédito Tributário sobre Prejuízo Fiscal,
620,620,1.3.1.6.1.9.01.1,Imposto de Renda (IRPJ),Receita Total
9,9,1.01.02.01,Títulos de Renda Fixa Vinculados à Cobertura de Provisões Técnicas,Receita Total
10,10,1.01.02.02,Títulos de Renda Fixa Não Vinculados à Cobertura de Provisões Técnicas,Receita Total
11,11,1.01.02.03,Títulos de Renda Variável Vinculados à Cobertura de Provisões Técnicas,Receita Total
12,12,1.01.02.04,Títulos de Renda Variável Não Vinculados à Cobertura de Provisões Técnicas,Receita Total
19,19,1.01.03,CRÉDITO DAS OPERAÇÕES,
20,20,1.01.03.01,Crédito das Operações - Prêmios a Receber,
21,21,1.01.03.02,Crédito das Operações - Seguradoras,
22,22,1.01.03.03,Crédito das Operações - Resseguradoras,
23,23,1.01.03.04,Crédito das Operações - Previdência Complementar,
24,24,1.01.03.05,Crédito das Operações - Capitalização,
25,25,1.01.03.06,Outros Créditos Operacionais,
26,26,1.01.04,TÍTULOS E CRÉDITOS A RECEBER,
27,27,1.01.04.01,Imposto de Renda a Compensar,Receita Total
29,29,1.01.04.03,Créditos de Previdência Social,
30,30,1.01.04.04,Cofins a Compensar,
32,32,1.01.04.06,Outros Créditos Tributários e Previdenciários,
34,34,1.01.04.08,Outros Títulos e Créditos a Receber,
38,38,1.01.05.03,Despesas Antecipadas,Despesas Operacionais
39,39,1.01.05.04,"Despesas de Comercialização, de Resseguros e de Retrocessões Diferidas",Despesas Operacionais
42,42,1.02.01.01,Títulos de Renda Fixa Vinculados à Cobertura de Provisões Técnicas,Receita Total
43,43,1.02.01.02,Títulos de Renda Fixa Não Vinculados à Cobertura de Provisões Técnicas,Receita Total
44,44,1.02.01.03,Títulos de Renda Variável Vinculados à Cobertura de Provisões Técnicas,Receita Total
45,45,1.02.01.04,Títulos de Renda Variável Não Vinculados à Cobertura de Provisões Técnicas,Receita Total
52,52,1.02.02,REALIZÁVEL A LONGO PRAZO - CRÉDITO DAS OPERAÇÕES,
53,53,1.02.02.01,Crédito das Operações - Prêmios a Receber,
54,54,1.02.02.02,Crédito das Operações - Seguradoras,
55,55,1.02.02.03,Crédito das Operações - Resseguradoras,
56,56,1.02.02.04,Crédito das Operações - Previdência Complementar,
57,57,1.02.02.05,Crédito das Operações - Capitalização,
58,58,1.02.02.06,Outros Créditos Operacionais,
59,59,1.02.03,REALIZÁVEL A LONGO PRAZO - TÍTULOS E CRÉDITOS A RECEBER,
201,201,1.1.1.03.002,Banco Do Brasil Renda Fixa,Receita Total
60,60,1.02.03.01,Imposto de Renda a Compensar,Receita Total
62,62,1.02.03.03,Créditos de Previdência Social,
63,63,1.02.03.04,Cofins a Compensar,
64,64,1.02.03.05,PIS a Compensar,
65,65,1.02.03.06,Outros Créditos Tributários e Previdenciários,
67,67,1.02.03.08,Outros Títulos e Créditos a Receber,
71,71,1.02.04.03,Despesas Antecipadas,Despesas Operacionais
72,72,1.02.04.04,"Despesas de Comercialização, de Resseguros e de Retrocessões Diferidas",Despesas Operacionais
76,76,1.02.05.03,Imóveis Destinados a Renda,Receita Total
101,101,1.02.08.01,"Despesas de Organização, Implantação e Instalação",Despesas Operacionais
119,119,2.01.02.05,Seguros e Resseguros - Receitas de Comercialização Diferidas,Receita Total
156,156,2.02.01.02,Imposto de Renda Diferido,Receita Total
195,195,2.02.07.04,Receitas Antecipadas,Receita Total
226,226,3.01.01.01.01.02.02,(-)Despesas com Sinistro,Despesas Operacionais
227,227,3.01.01.01.01.02.03,(-)Despesas com Benefícios e Resgates,Despesas Operacionais
232,232,3.01.01.01.01.02.08,(-)Despesas de Comissões,Despesas Operacionais
234,234,3.01.01.01.01.02.10,(-)Outras Despesas de Comercialização,Despesas Operacionais
235,235,3.01.01.01.01.02.11,Variação das Despesas de Comercialização Diferidas,Despesas Operacionais
236,236,3.01.01.01.01.02.12,Outras Receitas de Seguros,Receita Total
237,237,3.01.01.01.01.02.13,(-)Outras Despesas de Seguros,Despesas Operacionais
238,238,3.01.01.01.01.02.14,(-)Despesa com Provisão para Riscos de Créditos Duvidosos,Despesas Operacionais
239,239,3.01.01.01.01.02.15,Rendas de Contribuições Retidas - Previdência,Receita Total
241,241,3.01.01.01.01.02.17,(-)Despesas com Benefícios e Resgates - Previdência,Despesas Operacionais
242,242,3.01.01.01.01.02.18,(-)Despesas de Comercialização Retidas - Previdência,Despesas Operacionais
243,243,3.01.01.01.01.02.19,Outras Receitas de Previdência,Receita Total
244,244,3.01.01.01.01.02.20,(-)Outras Despesas de Previdência,Despesas Operacionais
245,245,3.01.01.01.01.02.21,Receita Líquida com Títulos de Capitalização,Receita Total
247,247,3.01.01.01.01.02.23,(-)Despesas com Resgates e Sorteios - Capitalização,Despesas Operacionais
248,248,3.01.01.01.01.02.24,(-)Despesas de Comercialização - Capitalização,Despesas Operacionais
249,249,3.01.01.01.01.02.25,Outras Receitas de Capitalização,Receita Total
250,250,3.01.01.01.01.02.26,(-) Outras Despesas de Capitalização,Despesas Operacionais
251,251,3.01.01.01.01.03,RECEITAS OPERACIONAIS,Receita Total
252,252,3.01.01.01.01.03.01,Receitas em Operações de Renda Fixa,Receita Total
253,253,3.01.01.01.01.03.02,Receitas em Operações de Renda Variável,Receita Total
256,256,3.01.01.01.01.03.05,Receitas de Juros sobre o Capital Próprio,Receita Total
258,258,3.01.01.01.01.03.07,Outras Receitas Financeiras,Receita Total
262,262,3.01.01.01.01.03.11,Receita com Imóveis de Renda,Receita Total
265,265,3.01.01.01.01.03.14,Receitas Decorrentes de Ajustes a Valor Justo,Receita Total
266,266,3.01.01.01.01.03.15,Receitas Decorrentes de Ajustes a Valor Presente,Receita Total
267,267,3.01.01.01.01.03.16,Receitas Decorrentes de Outros Ajustes aos Padrões Internacionais de Contabilidade,Receita Total
268,268,3.01.01.01.01.03.17,Receitas Originárias de Planos de Benefícios Administrados por Entidades Fechadas de Previdência Com,Receita Total
271,271,3.01.01.01.01.03.20,Outras Receitas Operacionais,Receita Total
272,272,3.01.01.01.01.04,DESPESAS OPERACIONAIS,Despesas Operacionais
281,281,3.01.01.01.01.04.09,PIS/Pasep,
282,282,3.01.01.01.01.04.10,Cofins,
291,291,3.01.01.01.01.04.19,Outras Despesas Administrativas,Despesas Operacionais
292,292,3.01.01.01.01.04.20,(-)Perdas Incorridas no Mercado de Renda Variável,Receita Total
298,298,3.01.01.01.01.04.26,(-)Outras Despesas Financeiras,Despesas Operacionais
302,302,3.01.01.01.01.04.30,(-)Despesas com Imóveis de Renda,Receita Total
303,303,3.01.01.01.01.04.31,(-)Despesas Decorrentes de Ajustes a Valor Justo,Despesas Operacionais
304,304,3.01.01.01.01.04.32,(-)Despesas Decorrentes de Ajustes a Valor Presente,Despesas Operacionais
306,306,3.01.01.01.01.04.34,(-)Despesas Decorrentes de Outros Ajustes aos Padrões Internacionais de Contabilidade,Despesas Operacionais
308,308,3.01.01.02.01,"Receitas de Alienações de Bens e Direitos Classificados nos Subgrupos Investimentos, Imobilizado e I",Receita Mercadorias
310,310,3.01.01.02.03,Outras Receitas Não Relacionadas nas Linhas Anteriores,Receita Total
313,313,3.01.01.02.06,(-)Outras Despesas Não Relacionadas nas Linhas Anteriores,Despesas Operacionais
322,322,3.03.01,(-)Provisão para o Imposto de Renda,Receita Total
58,58,1.2.2.2,Despesas Antecipadas,Despesas Operacionais
69,69,1.2.3.2,CRÉDITOS PRIVADOS E DEPÓSITOS,
78,78,1.2.3.2.09,Empréstimos de Crédito Privado,
92,92,1.2.3.4.03,Renda Fixa,Receita Total
107,107,1.2.3.5.02.01,Renda Fixa,Receita Total
108,108,1.2.3.5.02.02,Renda Variável,Receita Total
109,109,1.2.3.5.03,A TERMO - VENDA,Receita Total
110,110,1.2.3.5.03.01,Renda Fixa,Receita Total
111,111,1.2.3.5.03.02,Renda Variável,Receita Total
115,115,1.2.3.5.05.02,Opções de Venda - Titular,Receita Total
118,118,1.2.3.5.06.02,Opções de Venda - Titular,Receita Total
124,124,1.2.3.6.04,ALUGUÉIS E RENDA,Receita Total
161,161,2.1.2.3,Receitas Antecipadas,Receita Total
170,170,2.1.3.2,CRÉDITOS PRIVADOS E DEPÓSITOS,
179,179,2.1.3.2.09,Empréstimos de Crédito Privado,
193,193,2.1.3.4.03,Renda Fixa,Receita Total
208,208,2.1.3.5.02.01,Renda Fixa,Receita Total
209,209,2.1.3.5.02.02,Renda Variável,Receita Total
210,210,2.1.3.5.03,A TERMO - VENDA,Receita Total
211,211,2.1.3.5.03.01,Renda Fixa,Receita Total
212,212,2.1.3.5.03.02,Renda Variável,Receita Total
216,216,2.1.3.5.05.02,Opções de Venda - Lançador,Receita Total
225,225,2.1.3.6.04,ALUGUÉIS E RENDA,Receita Total
229,229,2.1.3.6.04.04,Rendas de Participações,Receita Total
298,298,4.1,RECEITAS - GESTÃO ADMINISTRATIVA,Receita Total
317,317,4.2,DESPESAS - GESTÃO ADMINISTRATIVA,Despesas Operacionais
319,319,4.2.1.1,DESPESAS COMUNS,Despesas Operacionais
348,348,4.2.1.1.05,Despesas Gerais,Despesas Operacionais
351,351,4.2.1.1.99,Outras Despesas,Despesas Operacionais
352,352,4.2.1.2,DESPESAS ESPECÍFICAS,Despesas Operacionais
381,381,4.2.1.2.05,Despesas Gerais,Despesas Operacionais
384,384,4.2.1.2.99,Outras Despesas,Despesas Operacionais
386,386,4.2.2.1,DESPESAS COMUNS,Despesas Operacionais
414,414,4.2.2.1.05,Despesas Gerais,Despesas Operacionais
417,417,4.2.2.1.99,Outras Despesas,Despesas Operacionais
418,418,4.2.2.2,DESPESAS ESPECÍFICAS,Despesas Operacionais
446,446,4.2.2.2.05,Despesas Gerais,Despesas Operacionais
449,449,4.2.2.2.99,Outras Despesas,Despesas Operacionais
452,452,4.2.9,Outras Despesas,Despesas Operacionais
7,7,1.1.1.02,CRÉDITOS,
8,8,1.1.1.02.01,CRÉDITOS A RECEBER,
367,367,1.1.2.05.01,DESPESAS DIVERSAS PAGAS ANTECIPADAMENTE,Despesas Operacionais
295,295,1.1.2.05.01.04,Outras Despesas Pagas Antecipadamente a Apropriar,Despesas Operacionais
518,518,1.2.1.01.02,DESPESAS PAGAS ANTECIPAMENTE - REALIZÁVEIS APÓS O EXERCÍCIO SEGUINTE,Despesas Operacionais
517,517,1.2.1.01.01.04,Outras Despesas Pagas Antecipadamente a Apropriar - LP,Despesas Operacionais
6810,6810,2.2.2.03.02,ARRENDAMENTO MERCANTIL .,Receita Total
6839,6839,3,DESPESAS,Despesas Operacionais
6840,6840,3.1,DESPESAS OPERACIONAIS,Despesas Operacionais
6841,6841,3.1.1,DESPESAS EFETUADAS COM FUNDO PARTIDÁRIO,Despesas Operacionais
6842,6842,3.1.1.01,DESPESAS ADMINISTRATIVAS,Despesas Operacionais
6843,6843,3.1.1.01.01,DESPESAS COM PESSOAL,Despesas Operacionais
6849,6849,3.1.1.01.01.06,PIS sobre Folha de Pagamento,Folha Total
6856,6856,3.1.1.01.01.13,Outras Despesas com Pessoal .,Despesas Operacionais
6861,6861,3.1.1.01.03,DESPESAS COM TRANSPORTES E VIAGENS,Despesas Operacionais
6869,6869,3.1.1.01.03.08,Outras Despesas com Transportes e Viagens .,Despesas Operacionais
643,643,1.2.1.04.02,BENS MÓVEIS - ARRENDAMENTO MERCANTIL,Receita Mercadorias
638,638,1.2.1.04.02.01,MÁQUINAS E EQUIPAMENTOS - ARRENDAMENTO MERCANTIL,Receita Total
92,92,1.2.1.04.02.02,MÓVEIS E UTENSÍLIOS - ARRENDAMENTO MERCANTIL,Receita Total
303,303,1.2.1.04.02.03,VEÍCULOS - ARRENDAMENTO MERCANTIL,Receita Total
341,341,1.2.1.05.03,SISTEMAS APLICATIVOS - ARRENDAMENTO MERCANTIL,Receita Total
89,89,1.2.2.01.02,DESPESAS PAGAS ANTECIPAMENTE - REALIZÁVEIS APÓS O EXERCÍCIO SEGUINTE,Despesas Operacionais
397,397,1.2.2.01.01.04,Outras Despesas Pagas Antecipadamente a Apropriar,Despesas Operacionais
6262,6262,1.2.2.04.02,BENS MÓVEIS - ARRENDAMENTO MERCANTIL,Receita Mercadorias
123,123,1.2.2.04.02.01,MÁQUINAS E EQUIPAMENTOS - ARRENDAMENTO MERCANTIL,Receita Total
1023,1023,1.2.2.04.02.02,MÓVEIS E UTENSÍLIOS - ARRENDAMENTO MERCANTIL,Receita Total
1060,1060,1.2.2.04.02.03,VEÍCULOS - ARRENDAMENTO MERCANTIL,Receita Total
1066,1066,1.2.2.05.03,SISTEMAS APLICATIVOS - ARRENDAMENTO MERCANTIL,Receita Total
6901,6901,3.1.1.01.09,DESPESAS GERAIS,Despesas Operacionais
6906,6906,3.1.1.01.09.05,Despesas Judiciais,Despesas Operacionais
6907,6907,3.1.1.01.09.06,Outras Despesas Gerais .,Despesas Operacionais
6921,6921,3.1.1.01.11,DESPESAS COM DEPRECIAÇÃO E AMORTIZAÇÃO,Despesas Operacionais
6924,6924,3.1.1.02,DESPESAS COM FINS DOUTRINÁRIOS E/OU POLÍTICOS,Despesas Operacionais
6926,6926,3.1.1.02.01.01,Despesas com Rádio e Televisão,Despesas Operacionais
6927,6927,3.1.1.02.01.02,Despesas com Eventos Promocionais,Despesas Operacionais
6928,6928,3.1.1.02.01.03,Despesas com Produções de Audiovisuais,Despesas Operacionais
6929,6929,3.1.1.02.01.04,Despesas com Pesquisas de Opinião Pública,Despesas Operacionais
6931,6931,3.1.1.02.02,DESPESAS COM CRIAÇÃO E/OU MANUTENÇÃO DE FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA,Despesas Operacionais
6932,6932,3.1.1.02.03,DESPESAS COM ALISTAMENTO,Despesas Operacionais
6933,6933,3.1.1.02.04,"DESPESAS COM SEMINÁRIOS, CONGRESSOS E CONVENÇÕES",Despesas Operacionais
6934,6934,3.1.1.02.04.01,Despesas com Seminários,Despesas Operacionais
6935,6935,3.1.1.02.04.02,Despesas com Congressos,Despesas Operacionais
6936,6936,3.1.1.02.04.03,Despesas com Convenções Partidárias,Despesas Operacionais
6937,6937,3.1.1.03,DESPESAS COM FINS ELEITORAIS,Despesas Operacionais
6938,6938,3.1.1.03.01,DESPESAS COM PESSOAL,Despesas Operacionais
6944,6944,3.1.1.03.01.06,PIS sobre Folha de Pagamento,Folha Total
6951,6951,3.1.1.03.01.13,Outras Despesas com Pessoal .,Despesas Operacionais
6956,6956,3.1.1.03.03,DESPESAS COM TRANSPORTES E VIAGENS,Despesas Operacionais
6964,6964,3.1.1.03.03.08,Outras Despesas com Transportes e Viagens .,Despesas Operacionais
6993,6993,3.1.1.03.08,DESPESAS GERAIS,Despesas Operacionais
6998,6998,3.1.1.03.08.05,Despesas Judiciais,Despesas Operacionais
6999,6999,3.1.1.03.08.06,Outras Despesas Gerais .,Despesas Operacionais
7013,7013,3.1.1.03.10,DESPESAS DIVERSAS,Despesas Operacionais
7014,7014,3.1.1.03.10.01,Despesas de Rádio e Televisão,Despesas Operacionais
7015,7015,3.1.1.03.10.02,Despesas com Comitês Financeiros,Despesas Operacionais
7016,7016,3.1.1.03.10.03,Despesas com Comícios,Despesas Operacionais
7017,7017,3.1.1.03.10.04,Despesas com Eventos Promocionais,Despesas Operacionais
7022,7022,3.1.1.03.10.09,Outras Despesas de Campanha Eleitoral,Despesas Operacionais
7028,7028,3.1.1.04.01,DESPESAS FINANCEIRAS,Despesas Operacionais
7032,7032,3.1.1.04.01.04,Outras Despesas Financeiras .,Despesas Operacionais
7035,7035,3.1.1.06,OUTRAS DESPESAS OPERACIONAIS,Despesas Operacionais
7037,7037,3.1.1.06.02,Outras Despesas Operacionais .,Despesas Operacionais
7038,7038,3.1.2,DESPESAS EFETUADAS COM OUTROS RECURSOS,Despesas Operacionais
